qa_id,question,answer,category,page_section_ref,regulation_clause,curriculum_program,plan,ground_truth_source
11,รายวิชาที่ต้องเรียนในปีที่ 1 ภาคเรียนที่ 2 ของหลักสูตร DSBA มีอะไรบ้าง?,"06026201 แคลคูลัส 2, 06026203 การโปรแกรมคอมพิวเตอร์, 06026205 การตลาดเบื้อต้น, 06066001 ความน่าจะเป็นและสถิติ, 90641002 ความฉลาดทางดิจิทัล, 90642033 กฎหมายสำหรับคนรุ่นใหม่, 90644008 ภาษาอังกฤษพื้นฐาน 2",Study Plan,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
12,ปีที่ 1 ภาคเรียนที่ 2 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,21 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
13,ปีที่ 2 ภาคเรียนที่ 1 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,6 รายวิชา รวม 18 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
14,รายวิชาที่ต้องเรียนในปีที่ 2 ภาคเรียนที่ 1 ของหลักสูตร DSBA มีอะไรบ้าง?,"06026206 การวิเคราะห์ข้อมูลและการโปรแกรม, 06066000 คณิตศาสตร์ไม่ต่อเนื่อง, 06066300 แนวคิดระบบฐานข้อมูล, 06066302 การเขียนโปรแกรมเว็บพื้นฐาน, 06066304 การวิเคราะห์และอออกแบบระบบสารสนเทศ, 90644xxx วิชาเลือกภาษาและการสื่อสาร",Study Plan,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
15,ปีที่ 2 ภาคเรียนที่ 1 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,18 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
16,ปีที่ 2 ภาคเรียนที่ 2 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,7 รายวิชา รวม 21 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
17,รายวิชาที่ต้องเรียนในปีที่ 2 ภาคเรียนที่ 2 ของหลักสูตร DSBA มีอะไรบ้าง?,"06026204 เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น, 06026207 ระบบฐานข้อมูลแบบโนเอสคิวแอล, 06026208 พื้นฐานวิทยาการข้อมูล, 06026209 การแสดงข้อมูลด้วยแผนภาพ, 06026210 การหาค่าที่เหมาะที่สุด, 06066102 ระบบสารสนเทศเพื่อการจัดการ, 06066301 โครงสร้างข้อมูลและอัลกอริทึม",Study Plan,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
18,ปีที่ 2 ภาคเรียนที่ 2 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,21 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
19,ปีที่ 3 ภาคเรียนที่ 1 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,6 รายวิชา รวม 18 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
20,รายวิชาที่ต้องเรียนในปีที่ 3 ภาคเรียนที่ 1 ของหลักสูตร DSBA มีอะไรบ้าง?,"06026211 การเรียนรู้ของเครื่องเชิงประยุกต์, 06026212 การสร้างคลังข้อมูล, 06026xxx วิชาเลือกกลุ่มวิทยาการข้อมูล 1 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 1 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 1, 06026xxx วิชาเลือกกลุ่มวิทยาการข้อมูล 2 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 2 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 2, 9064xxxx วิชาเลือกหมวดวิชาศึกษาทั่วไป, 90644042 การสื่อสารและการนำเสนออย่างมืออาชีพ",Study Plan,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
21,ปีที่ 3 ภาคเรียนที่ 1 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,18 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
22,ปีที่ 3 ภาคเรียนที่ 2 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,6 รายวิชา รวม 18 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
23,รายวิชาที่ต้องเรียนในปีที่ 3 ภาคเรียนที่ 2 ของหลักสูตร DSBA มีอะไรบ้าง?,"06026213 ระบบข้อมูลมหัต, 06026214 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1, 06026xxx วิชาเลือกกลุ่มวิทยาการข้อมูล 3 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 3 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 3, 06026xxx วิชาเลือกกลุ่มวิทยาการข้อมูล 4 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 4 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 4, 06066100 การบริหารโครงการเทคโนโลยีสารสนเทศ, 90643021 ผู้ประกอบการสมัยใหม่",Study Plan,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
24,ปีที่ 3 ภาคเรียนที่ 2 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,18 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
25,ปีที่ 4 ภาคเรียนที่ 1 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,4 รายวิชา รวม 12 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
26,รายวิชาที่ต้องเรียนในปีที่ 4 ภาคเรียนที่ 1 ของหลักสูตร DSBA มีอะไรบ้าง?,"06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2, 9064xxxx วิชาเลือกหมวดวิชาศึกษาทั่วไป, xxxxxxxx วิชาเลือกเสรี 1, xxxxxxxx วิชาเลือกเสรี 2",Study Plan,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
27,ปีที่ 4 ภาคเรียนที่ 1 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,12 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
28,ปีที่ 4 ภาคเรียนที่ 2 ของหลักสูตร DSBA ต้องเรียนกี่วิชา?,1 รายวิชา รวม 6 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
29,รายวิชาที่ต้องเรียนในปีที่ 4 ภาคเรียนที่ 2 ของหลักสูตร DSBA มีอะไรบ้าง?,06026259 หรือ 06026260 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,Study Plan,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
30,ปีที่ 4 ภาคเรียนที่ 2 ของหลักสูตร DSBA รวมกี่หน่วยกิต?,6 หน่วยกิต,Study Plan,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
31,รายวิชา 06016401 คือวิชาอะไร?,"คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ (MATHEMATICS FOR INFORMATION TECHNOLOGY), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
32,รายวิชา 06016401 คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
33,ชื่อภาษาอังกฤษของรายวิชา 06016401 คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ คืออะไร?,MATHEMATICS FOR INFORMATION TECHNOLOGY,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
34,รายวิชา 06016401 คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
35,รายวิชา 06026200 คือวิชาอะไร?,"แคลคูลัส 1 (CALCULUS 1), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
36,รายวิชา 06026200 แคลคูลัส 1 มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
37,ชื่อภาษาอังกฤษของรายวิชา 06026200 แคลคูลัส 1 คืออะไร?,CALCULUS 1,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
38,รายวิชา 06026200 แคลคูลัส 1 อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
39,รายวิชา 06026202 คือวิชาอะไร?,"พีชคณิตเชิงเส้น (LINEAR ALGEBRA), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
40,รายวิชา 06026202 พีชคณิตเชิงเส้น มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
41,ชื่อภาษาอังกฤษของรายวิชา 06026202 พีชคณิตเชิงเส้น คืออะไร?,LINEAR ALGEBRA,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
42,รายวิชา 06026202 พีชคณิตเชิงเส้น อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
43,รายวิชา 06066101 คือวิชาอะไร?,"พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ (BUSINESS FUNDAMENTALS FOR INFORMATION TECHNOLOGY), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
44,รายวิชา 06066101 พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
45,ชื่อภาษาอังกฤษของรายวิชา 06066101 พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ คืออะไร?,BUSINESS FUNDAMENTALS FOR INFORMATION TECHNOLOGY,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
46,รายวิชา 06066101 พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
47,รายวิชา 06066303 คือวิชาอะไร?,"การแก้ปัญหาและโปรแกรมคอมพิวเตอร์ (PROBLEM SOLVING AND COMPUTER PROGRAMMING), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
48,รายวิชา 06066303 การแก้ปัญหาและโปรแกรมคอมพิวเตอร์ มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
49,ชื่อภาษาอังกฤษของรายวิชา 06066303 การแก้ปัญหาและโปรแกรมคอมพิวเตอร์ คืออะไร?,PROBLEM SOLVING AND COMPUTER PROGRAMMING,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
50,รายวิชา 06066303 การแก้ปัญหาและโปรแกรมคอมพิวเตอร์ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
51,รายวิชา 90641001 คือวิชาอะไร?,"โรงเรียนสร้างเสน่าห์ (CHARM SCHOOL), 2(1-2-3) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
52,รายวิชา 90641001 โรงเรียนสร้างเสน่าห์ มีกี่หน่วยกิต?,2(1-2-3),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
53,ชื่อภาษาอังกฤษของรายวิชา 90641001 โรงเรียนสร้างเสน่าห์ คืออะไร?,CHARM SCHOOL,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
54,รายวิชา 90641001 โรงเรียนสร้างเสน่าห์ อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
55,รายวิชา 90641003 คือวิชาอะไร?,"กีฬาและนันทนาการ (SPORTS AND RECREATIONAL ACTIVITIES), 1(0-3-2) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
56,รายวิชา 90641003 กีฬาและนันทนาการ มีกี่หน่วยกิต?,1(0-3-2),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
57,ชื่อภาษาอังกฤษของรายวิชา 90641003 กีฬาและนันทนาการ คืออะไร?,SPORTS AND RECREATIONAL ACTIVITIES,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
58,รายวิชา 90641003 กีฬาและนันทนาการ อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
59,รายวิชา 90644007 คือวิชาอะไร?,"ภาษาอังกฤษพื้นฐาน 1 (FOUNDATION ENGLISH 1), 3(3-0-6) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
60,รายวิชา 90644007 ภาษาอังกฤษพื้นฐาน 1 มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
61,ชื่อภาษาอังกฤษของรายวิชา 90644007 ภาษาอังกฤษพื้นฐาน 1 คืออะไร?,FOUNDATION ENGLISH 1,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
62,รายวิชา 90644007 ภาษาอังกฤษพื้นฐาน 1 อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
63,รายวิชา 06026201 คือวิชาอะไร?,"แคลคูลัส 2 (CALCULUS 2), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
64,รายวิชา 06026201 แคลคูลัส 2 มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
65,ชื่อภาษาอังกฤษของรายวิชา 06026201 แคลคูลัส 2 คืออะไร?,CALCULUS 2,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
66,รายวิชา 06026201 แคลคูลัส 2 มีวิชาบังคับก่อน (prerequisite) หรือไม่? ถ้ามีคือวิชาอะไร?,มี — 06026200 (แคลคูลัส 1),Prerequisite,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: ต้องผ่านวิชาบังคับก่อนตามที่หลักสูตรกำหนด,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
67,รายวิชา 06026201 แคลคูลัส 2 อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
68,รายวิชา 06026203 คือวิชาอะไร?,"การโปรแกรมคอมพิวเตอร์ (COMPUTER PROGRAMMING), 3(2-2-5) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
69,รายวิชา 06026203 การโปรแกรมคอมพิวเตอร์ มีกี่หน่วยกิต?,3(2-2-5),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
70,ชื่อภาษาอังกฤษของรายวิชา 06026203 การโปรแกรมคอมพิวเตอร์ คืออะไร?,COMPUTER PROGRAMMING,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
71,รายวิชา 06026203 การโปรแกรมคอมพิวเตอร์ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
72,รายวิชา 06026205 คือวิชาอะไร?,"การตลาดเบื้อต้น (INTRODUCTION TO MARKETING), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
73,รายวิชา 06026205 การตลาดเบื้อต้น มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
74,ชื่อภาษาอังกฤษของรายวิชา 06026205 การตลาดเบื้อต้น คืออะไร?,INTRODUCTION TO MARKETING,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
75,รายวิชา 06026205 การตลาดเบื้อต้น อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
76,รายวิชา 06066001 คือวิชาอะไร?,"ความน่าจะเป็นและสถิติ (PROBABILITY AND STATISTICS), 3(3-0-6) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
77,รายวิชา 06066001 ความน่าจะเป็นและสถิติ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
78,ชื่อภาษาอังกฤษของรายวิชา 06066001 ความน่าจะเป็นและสถิติ คืออะไร?,PROBABILITY AND STATISTICS,Course Detail,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
79,รายวิชา 06066001 ความน่าจะเป็นและสถิติ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
