row_number,code,name_th,name_en,credits,year,semester,year_semester_display,category,type,elective_group,prerequisite,flexible_year_semester,note,program,plan,ground_truth_source
11,06026205,การตลาดเบื้อต้น,INTRODUCTION TO MARKETING,3(3-0-6),1,2,1/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
12,06066001,ความน่าจะเป็นและสถิติ,PROBABILITY AND STATISTICS,3(3-0-6),1,2,1/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
13,90641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,3(3-0-6),1,2,1/2,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
14,90642033,กฎหมายสำหรับคนรุ่นใหม่,LAW FOR NEW GENERATION,3(3-0-6),1,2,1/2,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,กลุ่มวิชาที่กำหนดโดยคณะ,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
15,90644008,ภาษาอังกฤษพื้นฐาน 2,FOUNDATION ENGLISH 2,3(3-0-6),1,2,1/2,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
16,06026206,การวิเคราะห์ข้อมูลและการโปรแกรม,DATA ANALYTICS AND PROGRAMMING,3(2-2-5),2,1,2/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
17,06066000,คณิตศาสตร์ไม่ต่อเนื่อง,DISCRETE MATHEMATICS,3(3-0-6),2,1,2/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
18,06066300,แนวคิดระบบฐานข้อมูล,DATABASE SYSTEM CONCEPTS,3(2-2-5),2,1,2/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
19,06066302,การเขียนโปรแกรมเว็บพื้นฐาน,FUNDAMENTAL WEB PROGRAMMING,3(2-2-5),2,1,2/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
20,06066304,การวิเคราะห์และอออกแบบระบบสารสนเทศ,INFORMATION SYSTEM ANALYSIS AND DESIGN,3(3-0-6),2,1,2/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
21,90644xxx,วิชาเลือกภาษาและการสื่อสาร,ELECTIVE IN LANGUAGE AND COMMUNICATION,3(3-0-6) หรือ 3(2-2-5),2,1,2/1,หมวดวิชาศึกษาทั่วไป,เลือก,ศึกษาทั่วไปเลือก (GE Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
22,06026204,เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น,INTRODUCTION TO NETWORKS AND CYBERSECURITY,3(3-0-6),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
23,06026207,ระบบฐานข้อมูลแบบโนเอสคิวแอล,NOSQL DATABASE SYSTEMS,3(2-2-5),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
24,06026208,พื้นฐานวิทยาการข้อมูล,FUNDAMENTALS OF DATA SCIENCE,3(3-0-6),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
25,06026209,การแสดงข้อมูลด้วยแผนภาพ,DATA VISUALIZATION,3(2-2-5),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
26,06026210,การหาค่าที่เหมาะที่สุด,OPTIMIZATION,3(3-0-6),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
27,06066102,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEMS,3(3-0-6),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),06066101,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
28,06066301,โครงสร้างข้อมูลและอัลกอริทึม,DATA STRUCTURES AND ALGORITHMS,3(2-2-5),2,2,2/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
29,06026211,การเรียนรู้ของเครื่องเชิงประยุกต์,APPLIED MACHINE LEARNING,3(2-2-5),3,1,3/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
30,06026212,การสร้างคลังข้อมูล,DATA WAREHOUSING,3(2-2-5),3,1,3/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),06066300,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
31,06026xxx,วิชาเลือกกลุ่มวิทยาการข้อมูล 1 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 1 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 1,ELECTIVE IN DATA SCIENCE ELECTIVE IN STATISTICAL ANALYSIS 1 ELECTIVE IN DATA ENGINEERING 1,3(3-0-6) หรือ 3(2-2-5),3,1,3/1,หมวดวิชาเฉพาะ,เลือก,เลือกกลุ่มวิทยาการข้อมูล (Data Science Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
32,06026xxx,วิชาเลือกกลุ่มวิทยาการข้อมูล 2 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 2 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 2,ELECTIVE IN DATA SCIENCE 2 ELECTIVE IN STATISTICAL ANALYTICS 2 ELECTIVE IN DATA ENGINEERING 2,3(3-0-6) หรือ 3(2-2-5),3,1,3/1,หมวดวิชาเฉพาะ,เลือก,เลือกกลุ่มวิทยาการข้อมูล (Data Science Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
33,9064xxxx,วิชาเลือกหมวดวิชาศึกษาทั่วไป,ELECTIVE IN GENERAL EDUCATION,3(3-0-6) หรือ 3(2-2-5),3,1,3/1,หมวดวิชาเฉพาะ,เลือก,ศึกษาทั่วไปเลือก (GE Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
34,90644042,การสื่อสารและการนำเสนออย่างมืออาชีพ,PROFESSIONAL COMMUNICATION AND PRESENTATION,3(3-0-6),3,1,3/1,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,กลุ่มวิชาที่กำหนดโดยคณะ,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
35,06026213,ระบบข้อมูลมหัต,BIG DATA SYSTEMS,3(2-2-5),3,2,3/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),06066300,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
36,06026214,โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1,PROJECT IN DATA SCIENCE AND BUSINESS ANALYTICS 1,3(0-9-0),3,2,3/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
37,06026xxx,วิชาเลือกกลุ่มวิทยาการข้อมูล 3 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 3 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 3,ELECTIVE IN DATA SCIENCE 3 ELECTIVE IN STATISTICAL ANALYTICS 3 ELECTIVE IN DATA ENGINEERING 3,3(3-0-6) หรือ 3(2-2-5),3,2,3/2,หมวดวิชาเฉพาะ,เลือก,เลือกกลุ่มวิทยาการข้อมูล (Data Science Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
38,06026xxx,วิชาเลือกกลุ่มวิทยาการข้อมูล 4 วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 4 วิชาเลือกกลุ่มวิศวกรรมข้อมูล 4,ELECTIVE IN DATA SCIENCE 4 ELECTIVE IN STATISTICAL ANALYTICS 4 ELECTIVE IN DATA ENGINEERING 4,3(3-0-6) หรือ 3(2-2-5),3,2,3/2,หมวดวิชาเฉพาะ,เลือก,เลือกกลุ่มวิทยาการข้อมูล (Data Science Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
39,06066100,การบริหารโครงการเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY PROJECT MANAGEMENT,3(3-0-6),3,2,3/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
40,90643021,ผู้ประกอบการสมัยใหม่,MODERN ENTREPRENEURS,3(3-0-6),3,2,3/2,หมวดวิชาศึกษาทั่วไป,บังคับ,บังคับ (Required),ไม่มี,,กลุ่มวิชาที่กำหนดโดยคณะ,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
41,06026215,โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2,PROJECT IN DATA SCIENCE AND BUSINESS ANALYTICS 2,3(0-9-0),4,1,4/1,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),06026214,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
42,9064xxxx,วิชาเลือกหมวดวิชาศึกษาทั่วไป,ELECTIVE IN GENERAL EDUCATION,3(3-0-6) หรือ 3(2-2-5),4,1,4/1,หมวดวิชาศึกษาทั่วไป,เลือก,ศึกษาทั่วไปเลือก (GE Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
43,xxxxxxxx,วิชาเลือกเสรี 1,FREE ELECTIVE COURSE 1,3(3-0-6) หรือ 3(2-2-5),4,1,4/1,หมวดวิชาเลือกเสรี,เลือก,วิชาเลือกเสรี (Free Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
44,xxxxxxxx,วิชาเลือกเสรี 2,FREE ELECTIVE COURSE 2,3(3-0-6) หรือ 3(2-2-5),4,1,4/1,หมวดวิชาเลือกเสรี,เลือก,วิชาเลือกเสรี (Free Elective),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
45,06026259 หรือ 06026260,สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS OVERSEA COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS,6(0-35-0),4,2,4/2,หมวดวิชาเฉพาะ,บังคับ,บังคับ (Required),ไม่มี,,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
46,06026216,ปัญญาประดิษฐ์,ARTIFICIAL INTELLIGENCE,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
47,06026217,การเรียนรู้ของเครื่อง,MACHINE LEARNING,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
48,06026218,การเรียนรู้เชิงลึก,DEEP LEARNING,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
49,06026219,การประมวลผลภาษาธรรมชาติ,NATURAL LANGUAGE PROCESSING,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
50,06026220,การทำเหมืองข้อมูลกระบวนการ,PROCESS MINING,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
51,06026221,การค้นคืนสารสนเทศ,INFORMATION RETRIEVAL,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
52,06026222,คอมพิวเตอร์วิชัน,COMPUTER VISION,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
53,06026223,การประมวลผลภาพ,IMAGE PROCESSING,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
54,06026224,การแปลงข้อมูลและการรู้จำรูปภาพ,IMAGE TRANSFORMATION AND RECOGNITION,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
55,06026225,การเรียนรู้เชิงลึกสำหรับการวิเคราะห์ภาพและวิดีโอทางการแพทย์,DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
56,06026226,หัวข้อพิเศษทางวิทยาการข้อมูล 1,SPECIAL TOPICS IN DATA SCIENCE 1,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
57,06026227,หัวข้อพิเศษทางวิทยาการข้อมูล 2,SPECIAL TOPICS IN DATA SCIENCE 2,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
58,06026228,ปฏิบัติการพิเศษทางวิทยาการข้อมูล 1,SPECIAL WORKSHOP IN DATA SCIENCE 1,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
59,06026229,ปฏิบัติการพิเศษทางวิทยาการข้อมูล 2,SPECIAL WORKSHOP IN DATA SCIENCE 2,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
60,06026230,อนุกรมเวลาและการพยากรณ์,TIME SERIES AND FORECASTING,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
61,06026231,สถิติเชิงเบย์,BAYESIAN STATISTICS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
62,06026232,กระบวนการสโตแคสติกเบื้องต้น,INTRODUCTION TO STOCHASTIC PROCESS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
63,06026233,การวิเคราะห์ข้อมูลหลายตัวแปร,MULTIVARIATE DATA ANALYSIS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
64,06026234,การออกแบบการทดลอง,EXPERIMENTAL DESIGN,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
65,06026235,หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 1,SPECIAL TOPICS IN STATISTICAL ANALYTICS 1,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
66,06026236,หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 2,SPECIAL TOPICS IN STATISTICAL ANALYTICS 2,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
67,06026237,ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 1,SPECIAL WORKSHOP IN STATISTICAL ANALYTICS 1,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
68,06026238,ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 2,SPECIAL WORKSHOP IN STATISTICAL ANALYTICS 2,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
69,06026239,สถิาปัตยกรรมข้อมูลแบบไปป์ไลน์,DATA PIPELINE ARCHITECTURE,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
70,06026240,การพัฒนาระบบอัจฉริยะ,INTELLIGENT SYSTEM DEVELOPMENT,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
71,06026241,การดำเนินงานการเรียนรู้ของเครื่อง,MACHINE LEARNING OPERATIONS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
72,06026242,โครงสร้างพื้นฐานด้านเทคโนโลยีกลุ่มเมฆ,CLOUD TECHNOLOGY INFRASTRUCTURE,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
73,06026243,ระบบฐานข้อมูลขั้นสูง,ADVANCED DATABASE SYSTEMS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
74,06026244,การดูแลและบำรุงรักษาระบบฐานข้อมูล,DATABASE SYSTEM MAINTENANCE AND ADMINISTRATION,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
75,06026245,ระบบข้อมูลแบบกระจาย,DISTRIBUTED DATABASE SYSTEMS,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
76,06026246,หัวข้อพิเศษทางวิศวกรรมข้อมูล 1,SPECIAL TOPICS IN DATA ENGINEERING 1,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
77,06026247,หัวข้อพิเศษทางวิศวกรรมข้อมูล 2,SPECIAL TOPICS IN DATA ENGINEERING 2,3(3-0-6),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
78,06026248,ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 1,SPECIAL WORKSHOP IN DATA ENGINEERING 1,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
79,06026249,ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 2,SPECIAL WORKSHOP IN DATA ENGINEERING 2,3(2-2-5),,,"Flexible: 3/1, 3/2, 4/1",หมวดวิชาเฉพาะ,เลือก,วิชาเลือกเฉพาะ (Major Elective),ไม่มี,"3/1, 3/2, 4/1",,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
